ID,forcefield,DGwater,errDGwater,DGoct_dry,errDGoct_dry,DGoct_wet,errDGoct_wet,DDGwod,errDDGwod,logPwod,errlogPwod,DDGwow,errDDGwow,logPwow,errlogPwow,experiment,err
SM02,AMBER,-34.53,-0.42,-65.32,-1.16,-67.64,-1.61,30.79,1.23,5.36,0.21,33.11,1.67,5.77,0.29,4.09,0.03
SM02,LigParGen,-42.15,-1.65,-73.66,-1.69,-75.50,-2.05,31.51,2.36,5.49,0.41,33.35,2.63,5.81,0.46,4.09,0.03
SM02,OPLSAA,-31.92,-0.33,-65.55,-1.93,-66.01,-1.24,33.63,1.96,5.86,0.34,34.09,1.29,5.94,0.22,4.09,0.03
SM02,CHARMM,-45.82,-0.33,-63.60,-1.13,-65.43,-1.52,17.78,1.18,3.09,0.21,19.61,1.56,3.41,0.27,4.09,0.03
SM04,AMBER,-38.14,-0.39,-73.49,-1.67,-74.42,-1.30,35.34,1.72,6.15,0.30,36.27,1.36,6.32,0.24,3.98,0.03
SM04,LigParGen,-48.97,-0.34,-82.12,-1.47,-79.90,-1.59,33.15,1.51,5.77,0.26,30.93,1.62,5.38,0.28,3.98,0.03
SM04,OPLSAA,-29.56,-0.33,-66.85,-0.83,-68.71,-0.95,37.29,0.89,6.49,0.16,39.15,1.00,6.82,0.17,3.98,0.03
SM04,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,3.98,0.03
SM07,AMBER,-47.96,-0.68,-77.35,-2.68,-75.20,-2.14,29.39,2.76,5.12,0.48,27.23,2.24,4.74,0.39,3.21,0.04
SM07,LigParGen,-57.42,-0.32,-86.37,-1.09,-83.99,-1.16,28.95,1.13,5.04,0.20,26.57,1.20,4.63,0.21,3.21,0.04
SM07,OPLSAA,-46.01,-0.35,-76.80,-0.98,-74.35,-0.74,30.79,1.04,5.36,0.18,28.34,0.82,4.93,0.14,3.21,0.04
SM07,CHARMM,-43.01,-0.26,-51.77,-0.99,-48.36,-1.17,8.76,1.03,1.53,0.18,5.35,1.20,0.93,0.21,3.21,0.04
SM08,AMBER,-53.32,-0.32,-93.05,-3.88,-79.23,-1.25,39.73,3.89,6.92,0.68,25.91,1.29,4.51,0.22,3.10,0.03
SM08,LigParGen,-61.87,-0.52,-92.84,-1.27,-94.76,-1.70,30.97,1.37,5.39,0.24,32.88,1.78,5.73,0.31,3.10,0.03
SM08,OPLSAA,-49.24,-0.54,-96.70,-1.20,-92.56,-1.45,47.45,1.31,8.26,0.23,43.32,1.54,7.54,0.27,3.10,0.03
SM08,CHARMM,-46.78,-0.35,-74.07,-1.38,-78.56,-1.44,27.29,1.42,4.75,0.25,31.78,1.48,5.53,0.26,3.10,0.03
SM09,AMBER,-44.83,-0.59,-69.14,-1.75,-74.47,-2.83,24.31,1.85,4.23,0.32,29.64,2.89,5.16,0.50,3.03,0.07
SM09,LigParGen,-54.82,-1.23,-85.23,-2.43,-87.34,-2.72,30.41,2.73,5.29,0.47,32.52,2.98,5.66,0.52,3.03,0.07
SM09,OPLSAA,-39.00,-0.37,-71.94,-1.43,-66.10,-1.08,32.94,1.48,5.73,0.26,27.10,1.14,4.72,0.20,3.03,0.07
SM09,CHARMM,-40.18,-0.29,-58.91,-1.06,-59.68,-1.63,18.72,1.10,3.26,0.19,19.50,1.66,3.39,0.29,3.03,0.07
SM11,AMBER,-53.18,-0.24,-69.90,-2.00,-74.72,-1.34,16.72,2.01,2.91,0.35,21.54,1.36,3.75,0.24,2.10,0.04
SM11,LigParGen,-52.58,-0.29,-80.61,-1.68,-79.20,-1.46,28.03,1.71,4.88,0.30,26.62,1.49,4.63,0.26,2.10,0.04
SM11,OPLSAA,-31.58,-0.27,-59.99,-0.94,-57.91,-1.05,28.41,0.98,4.95,0.17,26.33,1.09,4.58,0.19,2.10,0.04
SM11,CHARMM,-43.90,-0.24,-53.34,-1.49,-61.64,-1.28,9.45,1.51,1.65,0.26,17.74,1.30,3.09,0.23,2.10,0.04
SM12,AMBER,-35.40,-0.36,-66.49,-1.42,-66.09,-1.25,31.09,1.47,5.41,0.26,30.69,1.30,5.34,0.23,3.83,0.03
SM12,LigParGen,-48.46,-0.35,-82.41,-1.16,-77.46,-2.53,33.95,1.21,5.91,0.21,29.00,2.55,5.05,0.44,3.83,0.03
SM12,OPLSAA,-35.33,-0.31,-71.78,-1.07,-70.32,-1.18,36.45,1.12,6.35,0.19,34.98,1.22,6.09,0.21,3.83,0.03
SM12,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,3.83,0.03
SM13,AMBER,-43.90,-0.47,-81.24,-2.46,-83.81,-1.89,37.34,2.50,6.50,0.44,39.90,1.95,6.95,0.34,2.92,0.04
SM13,LigParGen,-65.24,-0.83,-100.76,-2.70,-92.44,-1.92,35.51,2.83,6.18,0.49,27.19,2.09,4.73,0.36,2.92,0.04
SM13,OPLSAA,-50.06,-0.37,-81.18,-1.06,-83.32,-1.64,31.12,1.12,5.42,0.19,33.27,1.69,5.79,0.29,2.92,0.04
SM13,CHARMM,-47.13,-0.34,-68.31,-1.82,-65.72,-1.15,21.18,1.85,3.69,0.32,18.60,1.20,3.24,0.21,2.92,0.04
SM14,AMBER,-37.90,-0.24,-56.07,-1.49,-58.69,-2.22,18.17,1.51,3.16,0.26,20.79,2.23,3.62,0.39,1.95,0.03
SM14,LigParGen,-54.04,-0.30,-62.10,-1.17,-75.54,-1.69,8.05,1.21,1.40,0.21,21.49,1.72,3.74,0.30,1.95,0.03
SM14,OPLSAA,-30.41,-0.27,-54.87,-0.73,-57.16,-0.72,24.46,0.78,4.26,0.14,26.75,0.77,4.66,0.13,1.95,0.03
SM14,CHARMM,-62.61,-0.25,-75.89,-1.71,-77.48,-2.70,13.28,1.73,2.31,0.30,14.88,2.71,2.59,0.47,1.95,0.03
SM15,AMBER,-45.52,-0.24,-64.02,-1.15,-64.52,-1.66,18.49,1.17,3.22,0.20,19.00,1.67,3.31,0.29,3.07,0.03
SM15,LigParGen,-50.50,-0.29,-76.13,-1.37,-73.53,-1.17,25.63,1.41,4.46,0.24,23.04,1.20,4.01,0.21,3.07,0.03
SM15,OPLSAA,-34.43,-0.27,-69.03,-0.86,-65.28,-0.81,34.61,0.90,6.03,0.16,30.86,0.85,5.37,0.15,3.07,0.03
SM15,CHARMM,-61.31,-0.25,-76.82,-1.55,-73.37,-1.67,15.51,1.57,2.70,0.27,12.06,1.69,2.10,0.29,3.07,0.03
SM16,AMBER,-68.35,-0.26,-96.11,-1.98,-95.09,-2.34,27.75,2.00,4.83,0.35,26.73,2.35,4.65,0.41,2.62,0.01
SM16,LigParGen,-51.14,-0.32,-76.24,-1.75,-78.05,-2.12,25.10,1.78,4.37,0.31,26.91,2.14,4.69,0.37,2.62,0.01
SM16,OPLSAA,-56.72,-0.30,-91.20,-1.86,-94.32,-1.77,34.49,1.88,6.00,0.33,37.60,1.79,6.55,0.31,2.62,0.01
SM16,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,2.62,0.01
