ID,forcefield,DGwater,errDGwater,DGoct_dry,errDGoct_dry,DGoct_wet,errDGoct_wet,DDGwod,errDDGwod,logPwod,errlogPwod,DDGwow,errDDGwow,logPwow,errlogPwow,experiment,err
SM08_10,AMBER,-51.90,0.41,-85.66,2.27,-79.32,1.23,33.76,2.31,5.88,0.40,27.42,1.30,4.77,0.23,3.10,0.03
SM08_10,LigParGen,-60.60,0.54,-92.73,1.60,-92.69,2.06,32.13,1.69,5.59,0.29,32.09,2.13,5.59,0.37,3.10,0.03
SM08_10,OPLSAA,-47.12,0.61,-96.25,1.21,-90.70,1.28,49.13,1.36,8.55,0.24,43.58,1.42,7.59,0.25,3.10,0.03
SM08_10,CHARMM,-45.99,0.44,-74.11,1.64,-77.75,1.84,28.12,1.70,4.90,0.30,31.76,1.89,5.53,0.33,3.10,0.03
SM08_08,AMBER,-63.39,0.56,-87.81,2.89,-91.22,1.77,24.42,2.94,4.25,0.51,27.83,1.86,4.85,0.32,3.10,0.03
SM08_08,LigParGen,-168.55,0.54,-174.90,3.00,-189.73,3.18,6.35,3.05,1.11,0.53,21.18,3.23,3.69,0.56,3.10,0.03
SM08_08,OPLSAA,-240.33,0.55,-229.96,4.62,-245.28,2.72,-10.37,4.65,-1.81,0.81,4.95,2.78,0.86,0.48,3.10,0.03
SM08_08,CHARMM,-281.08,0.44,-283.93,4.28,-294.45,3.32,2.86,4.30,0.50,0.75,13.38,3.35,2.33,0.58,3.10,0.03
SM08_11,AMBER,-70.35,0.42,-95.54,2.25,-98.21,1.16,25.19,2.29,4.39,0.40,27.86,1.23,4.85,0.21,3.10,0.03
SM08_11,LigParGen,-67.41,0.66,-92.36,2.95,-96.20,2.28,24.95,3.02,4.34,0.53,28.79,2.37,5.01,0.41,3.10,0.03
SM08_11,OPLSAA,-50.37,0.48,-89.34,1.88,-88.26,1.85,38.97,1.94,6.79,0.34,37.89,1.91,6.60,0.33,3.10,0.03
SM08_11,CHARMM,-78.13,0.41,-105.23,2.10,-110.49,1.67,27.10,2.14,4.72,0.37,32.36,1.72,5.63,0.30,3.10,0.03
