method,parameter,octanol_type,RMSE,AUE,MSE
mdpow_TI,MOL2FF,dry,2.877285652706858,2.7209090909090907,-2.7209090909090907
mdpow_TI,MOL2FF,wet,2.6652238521028924,2.5327272727272727,-2.5327272727272727
mdpow_TI,GAFF,dry,1.6921234642252965,1.4172727272727272,-1.4027272727272726
mdpow_TI,GAFF,wet,1.8674532974566775,1.6527272727272726,-1.6527272727272726
mdpow_TI,LigParGen,dry,1.9891158383014849,1.88,-1.7654545454545456
mdpow_TI,LigParGen,wet,1.8264222353602089,1.7309090909090912,-1.7309090909090912
mdpow_TI,CGenFF,dry,1.064242688487922,0.8287500000000001,0.2112499999999999
mdpow_TI,CGenFF,wet,1.2977576815415117,0.9450000000000001,0.07749999999999996
alchemlyb_mbar_processed,MOL2FF,dry,2.828997573828453,2.679090909090909,-2.679090909090909
alchemlyb_mbar_processed,MOL2FF,wet,2.6165504703017604,2.5009090909090905,-2.5009090909090905
alchemlyb_mbar_processed,GAFF,dry,2.355152957781183,2.1254545454545455,-2.1254545454545455
alchemlyb_mbar_processed,GAFF,wet,2.261594369224749,2.0700000000000003,-2.0700000000000003
alchemlyb_mbar_processed,LigParGen,dry,1.9018197027631674,1.7936363636363633,-1.6590909090909092
alchemlyb_mbar_processed,LigParGen,wet,1.8010678650582423,1.6790909090909094,-1.6790909090909094
alchemlyb_mbar_processed,CGenFF,dry,1.0846197490365,0.8975,-0.23500000000000004
alchemlyb_mbar_processed,CGenFF,wet,1.4827466068077848,1.2062500000000003,-0.15625000000000017
alchemlyb_TI_processed,MOL2FF,dry,2.926619209941738,2.8009090909090912,-2.8009090909090912
alchemlyb_TI_processed,MOL2FF,wet,2.773086563904757,2.644545454545455,-2.644545454545455
alchemlyb_TI_processed,GAFF,dry,2.0963583142722007,1.8100000000000003,-1.8100000000000003
alchemlyb_TI_processed,GAFF,wet,2.0310051250998407,1.8381818181818188,-1.8381818181818188
alchemlyb_TI_processed,LigParGen,dry,2.063628754491378,1.9436363636363636,-1.8436363636363635
alchemlyb_TI_processed,LigParGen,wet,1.91421951814215,1.832727272727273,-1.832727272727273
alchemlyb_TI_processed,CGenFF,dry,0.9785001277465425,0.81375,0.06124999999999997
alchemlyb_TI_processed,CGenFF,wet,1.328923436470288,1.08375,-0.10125000000000015
alchemlyb_mbar_raw,MOL2FF,dry,2.828282485569965,2.6781818181818178,-2.6781818181818178
alchemlyb_mbar_raw,MOL2FF,wet,2.6147640255080207,2.4990909090909095,-2.4990909090909095
alchemlyb_mbar_raw,GAFF,dry,1.751474703318217,1.4772727272727273,-1.4772727272727273
alchemlyb_mbar_raw,GAFF,wet,1.881430790165245,1.6745454545454548,-1.6745454545454548
alchemlyb_mbar_raw,LigParGen,dry,1.9029450859128858,1.7945454545454547,-1.6600000000000004
alchemlyb_mbar_raw,LigParGen,wet,1.8022561617947856,1.68,-1.68
alchemlyb_mbar_raw,CGenFF,dry,1.0955535130699916,0.87625,0.23124999999999996
alchemlyb_mbar_raw,CGenFF,wet,1.2938170272492164,0.9662499999999998,0.12625
alchemlyb_TI_raw,MOL2FF,dry,2.8089855820206697,2.674545454545455,-2.674545454545455
alchemlyb_TI_raw,MOL2FF,wet,2.600346130806436,2.4872727272727273,-2.4872727272727273
alchemlyb_TI_raw,GAFF,dry,1.7332497066073733,1.457272727272727,-1.4554545454545453
alchemlyb_TI_raw,GAFF,wet,1.9126231392324187,1.6981818181818185,-1.6981818181818185
alchemlyb_TI_raw,LigParGen,dry,1.8959766013132313,1.7836363636363637,-1.6781818181818182
alchemlyb_TI_raw,LigParGen,wet,1.800116157868203,1.6981818181818182,-1.6981818181818182
alchemlyb_TI_raw,CGenFF,dry,1.0521763160231272,0.8424999999999998,0.22749999999999995
alchemlyb_TI_raw,CGenFF,wet,1.283992795929946,0.94375,0.11875
alchemlyb_mbar_no1ns,MOL2FF,dry,2.7856270715618385,2.6118181818181814,-2.6118181818181814
alchemlyb_mbar_no1ns,MOL2FF,wet,2.7241679296788783,2.610909090909091,-2.610909090909091
alchemlyb_mbar_no1ns,GAFF,dry,1.5235305886477812,1.2763636363636364,-1.2763636363636364
alchemlyb_mbar_no1ns,GAFF,wet,1.7055444345374933,1.4754545454545456,-1.4754545454545456
alchemlyb_mbar_no1ns,LigParGen,dry,1.711139970896595,1.5727272727272728,-1.570909090909091
alchemlyb_mbar_no1ns,LigParGen,wet,1.61518363718129,1.5054545454545456,-1.5054545454545456
alchemlyb_mbar_no1ns,CGenFF,dry,1.1656650462289757,0.9124999999999999,0.31749999999999984
alchemlyb_mbar_no1ns,CGenFF,wet,1.4195950126708674,1.0474999999999999,0.1049999999999999
alchemlyb_mbar_no1ns_equil,MOL2FF,dry,2.981864414190455,2.757692307692307,-2.0023076923076926
alchemlyb_mbar_no1ns_equil,MOL2FF,wet,2.6596587403997183,2.512307692307692,-2.167692307692308
alchemlyb_mbar_no1ns_equil,GAFF,dry,2.01200244685583,1.769230769230769,-1.755384615384615
alchemlyb_mbar_no1ns_equil,GAFF,wet,2.178819369785813,2.01,-1.8284615384615384
alchemlyb_mbar_no1ns_equil,LigParGen,dry,1.5599679483886841,1.363846153846154,-1.0192307692307694
alchemlyb_mbar_no1ns_equil,LigParGen,wet,1.4593966087182955,1.2253846153846153,-1.1992307692307693
alchemlyb_mbar_no1ns_equil,CGenFF,dry,1.7281492991058383,1.5819999999999999,0.5539999999999999
alchemlyb_mbar_no1ns_equil,CGenFF,wet,1.4428825316012388,1.2229999999999999,0.2609999999999999
