ID,forcefield,DGwater,errDGwater,DGoct_dry,errDGoct_dry,DGoct_wet,errDGoct_wet,DDGwod,errDDGwod,logPwod,errlogPwod,DDGwow,errDDGwow,logPwow,errlogPwow,experiment,err
SM02,AMBER,-34.45,-0.36,-66.94,-0.97,-69.22,-1.003809462,32.48,1.04,5.66,0.18,34.76,1.07,6.05,0.19,4.09,0.03
SM02,LigParGen,-38.62,-0.97,-69.97,-1.33,-72.29,-1.331585022,31.35,1.64,5.46,0.29,33.67,1.65,5.86,0.29,4.09,0.03
SM02,OPLSAA,-31.37,-0.32,-64.35,-1.32,-64.96,-0.8244369419,32.98,1.35,5.74,0.24,33.59,0.89,5.85,0.15,4.09,0.03
SM02,CHARMM,-45.51,-0.32,-64.18,-0.98,-64.83,-1.006109837,18.67,1.03,3.25,0.18,19.32,1.06,3.36,0.18,4.09,0.03
SM04,AMBER,-37.59,-0.30,-75.42,-1.19,-75.89,-1.140867721,37.82,1.23,6.59,0.21,38.29,1.18,6.67,0.21,3.98,0.03
SM04,LigParGen,-48.48,-0.32,-80.07,-1.14,-79.42,-1.00985795,31.59,1.18,5.50,0.21,30.94,1.06,5.39,0.18,3.98,0.03
SM04,OPLSAA,-29.46,-0.30,-65.88,-0.62,-65.97,-0.6900374491,36.42,0.69,6.34,0.12,36.51,0.75,6.36,0.13,3.98,0.03
SM04,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,3.98,0.03
SM07,AMBER,-48.30,-0.55,-82.27,-1.63,-76.08,-1.385184273,33.97,1.72,5.92,0.30,27.78,1.49,4.84,0.26,3.21,0.04
SM07,LigParGen,-56.96,-0.30,-85.30,-0.93,-80.00,-0.8628650975,28.34,0.98,4.93,0.17,23.04,0.91,4.01,0.16,3.21,0.04
SM07,OPLSAA,-45.65,-0.33,-75.32,-0.64,-73.30,-0.6305311007,29.67,0.72,5.17,0.13,27.65,0.71,4.81,0.12,3.21,0.04
SM07,CHARMM,-42.80,-0.25,-52.24,-0.83,-47.43,-0.8298579801,9.44,0.87,1.64,0.15,4.63,0.87,0.81,0.15,3.21,0.04
SM08,AMBER,-52.30,-0.31,-91.04,-1.87,-79.08,-1.140084406,38.74,1.90,6.74,0.33,26.78,1.18,4.66,0.21,3.10,0.03
SM08,LigParGen,-60.51,-0.41,-91.84,-1.00,-93.46,-1.15233849,31.33,1.08,5.45,0.19,32.95,1.22,5.74,0.21,3.10,0.03
SM08,OPLSAA,-47.14,-0.51,-95.55,-0.93,-89.82,-0.9557012845,48.41,1.06,8.43,0.19,42.68,1.08,7.43,0.19,3.10,0.03
SM08,CHARMM,-46.46,-0.33,-75.67,-1.11,-80.68,-0.9579375657,29.21,1.16,5.09,0.20,34.22,1.01,5.96,0.18,3.10,0.03
SM09,AMBER,-43.72,-0.52,-69.10,-1.30,-76.24,-1.543228735,25.38,1.40,4.42,0.24,32.51,1.63,5.66,0.28,3.03,0.07
SM09,LigParGen,-53.22,-0.54,-80.32,-1.33,-84.14,-1.658807212,27.10,1.44,4.72,0.25,30.92,1.75,5.38,0.30,3.03,0.07
SM09,OPLSAA,-37.93,-0.35,-69.61,-0.97,-65.93,-0.9157226219,31.68,1.03,5.52,0.18,28.00,0.98,4.88,0.17,3.03,0.07
SM09,CHARMM,-39.91,-0.27,-60.22,-0.83,-59.47,-1.057337143,20.30,0.88,3.54,0.15,19.56,1.09,3.41,0.19,3.03,0.07
SM11,AMBER,-52.31,-0.23,-69.55,-1.38,-74.25,-1.247406614,17.23,1.40,3.00,0.24,21.93,1.27,3.82,0.22,2.10,0.04
SM11,LigParGen,-51.88,-0.28,-79.40,-1.23,-78.41,-0.9405507127,27.52,1.26,4.79,0.22,26.53,0.98,4.62,0.17,2.10,0.04
SM11,OPLSAA,-31.11,-0.26,-59.09,-0.75,-57.86,-0.6409668305,27.98,0.79,4.87,0.14,26.75,0.69,4.66,0.12,2.10,0.04
SM11,CHARMM,-43.43,-0.23,-55.77,-0.99,-61.80,-0.9766392948,12.34,1.02,2.15,0.18,18.37,1.00,3.20,0.17,2.10,0.04
SM12,AMBER,-34.24,-0.30,-67.46,-1.21,-64.81,-1.039575574,33.22,1.24,5.78,0.22,30.56,1.08,5.32,0.19,3.83,0.03
SM12,LigParGen,-47.75,-0.32,-81.70,-0.94,-74.38,-1.419839037,33.95,1.00,5.91,0.17,26.63,1.46,4.64,0.25,3.83,0.03
SM12,OPLSAA,-35.1,-0.30,-70.84,-0.84,-69.32,-1.02596634,35.74,0.89,6.22,0.16,34.22,1.07,5.96,0.19,3.83,0.03
SM12,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,3.83,0.03
SM13,AMBER,-42.98,-0.42,-82.63,-1.81,-84.11,-1.357369045,39.65,1.86,6.90,0.32,41.13,1.42,7.16,0.25,2.92,0.04
SM13,LigParGen,-62.79,-0.45,-96.30,-1.56,-87.86,-1.371577673,33.51,1.63,5.83,0.28,25.07,1.44,4.36,0.25,2.92,0.04
SM13,OPLSAA,-49.51,-0.36,-81.38,-0.91,-80.44,-0.9996533877,31.87,0.98,5.55,0.17,30.93,1.06,5.39,0.18,2.92,0.04
SM13,CHARMM,-46.76,-0.33,-69.29,-1.37,-66.78,-1.004822658,22.52,1.41,3.92,0.25,20.02,1.06,3.49,0.18,2.92,0.04
SM14,AMBER,-37.74,-0.23,-58.97,-1.30,-59.88,-1.511528848,21.23,1.32,3.70,0.23,22.13,1.53,3.85,0.27,1.95,0.03
SM14,LigParGen,-53.57,-0.28,-60.54,-0.85,-75.61,-1.077895085,6.97,0.90,1.21,0.16,22.04,1.11,3.84,0.19,1.95,0.03
SM14,OPLSAA,-30.09,-0.26,-54.07,-0.55,-56.66,-0.5884099233,23.98,0.61,4.18,0.11,26.57,0.64,4.63,0.11,1.95,0.03
SM14,CHARMM,-62.35,-0.24,-79.19,-1.35,-76.65,-1.298416142,16.83,1.37,2.93,0.24,14.30,1.32,2.49,0.23,1.95,0.03
SM15,AMBER,-45.22,-0.23,-66.08,-0.97,-65.51,-1.328215971,20.86,0.99,3.63,0.17,20.29,1.35,3.53,0.23,3.07,0.03
