ID,forcefield,DGwater,errDGwater,DGoct_dry,errDGoct_dry,DGoct_wet,errDGoct_wet,DDGwod,errDDGwod,logPwod,errlogPwod,DDGwow,errDDGwow,logPwow,errlogPwow,experiment,err
SM02,AMBER,-33.70,-0.06,-65.15,-0.06,-65.46,-0.06,31.45,0.08,5.48,0.01,31.76,0.08,5.53,0.01,4.09,0.03
SM02,LigParGen,-38.62,-0.06,-69.97,-0.06,-72.29,-0.06,31.35,0.08,5.46,0.01,33.67,0.08,5.86,0.01,4.09,0.03
SM02,OPLSAA,-31.37,-0.06,-64.35,-0.06,-64.96,-0.05,32.98,0.08,5.74,0.01,33.58,0.08,5.85,0.01,4.09,0.03
SM02,CHARMM,-45.11,-0.06,-62.01,-0.05,-65.09,-0.05,16.90,0.08,2.94,0.01,19.98,0.08,3.48,0.01,4.09,0.03
SM04,AMBER,-37.44,-0.06,-72.29,-0.06,-72.57,-0.06,34.85,0.08,6.07,0.01,35.13,0.08,6.12,0.01,3.98,0.03
SM04,LigParGen,-48.48,-0.06,-80.07,-0.06,-79.42,-0.06,31.59,0.08,5.50,0.01,30.95,0.08,5.39,0.01,3.98,0.03
SM04,OPLSAA,-29.46,-0.06,-65.88,-0.05,-65.97,-0.06,36.42,0.08,6.34,0.01,36.51,0.08,6.36,0.01,3.98,0.03
SM04,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,3.98,0.03
SM07,AMBER,-46.38,-0.06,-74.92,-0.06,-75.12,-0.06,28.54,0.08,4.97,0.01,28.74,0.08,5.00,0.01,3.21,0.04
SM07,LigParGen,-56.96,-0.06,-85.30,-0.06,-80.00,-0.05,28.34,0.08,4.93,0.01,23.04,0.08,4.01,0.01,3.21,0.04
SM07,OPLSAA,-45.65,-0.06,-75.32,-0.05,-73.30,-0.05,29.67,0.08,5.17,0.01,27.64,0.08,4.81,0.01,3.21,0.04
SM07,CHARMM,-42.51,-0.06,-49.89,-0.05,-47.62,-0.05,7.38,0.08,1.28,0.01,5.11,0.08,0.89,0.01,3.21,0.04
SM08,AMBER,-51.76,-0.07,-86.19,-0.06,-78.72,-0.06,34.44,0.09,6.00,0.02,26.96,0.09,4.69,0.02,3.10,0.03
SM08,LigParGen,-60.51,-0.07,-91.84,-0.06,-93.46,-0.06,31.33,0.09,5.46,0.02,32.95,0.09,5.74,0.02,3.10,0.03
SM08,OPLSAA,-47.14,-0.07,-95.55,-0.06,-89.82,-0.06,48.42,0.09,8.43,0.02,42.68,0.09,7.43,0.02,3.10,0.03
SM08,CHARMM,-46.19,-0.07,-74.60,-0.06,-76.60,-0.06,28.41,0.09,4.95,0.02,30.42,0.09,5.30,0.02,3.10,0.03
SM09,AMBER,-43.55,-0.06,-65.23,-0.06,-71.14,-0.06,21.68,0.08,3.78,0.01,27.59,0.08,4.80,0.01,3.03,0.07
SM09,LigParGen,-53.22,-0.06,-80.32,-0.06,-84.14,-0.06,27.11,0.09,4.72,0.01,30.93,0.09,5.39,0.02,3.03,0.07
SM09,OPLSAA,-37.93,-0.06,-69.61,-0.05,-65.93,-0.05,31.68,0.08,5.52,0.01,28.00,0.08,4.88,0.01,3.03,0.07
SM09,CHARMM,-39.85,-0.06,-59.05,-0.05,-57.07,-0.05,19.20,0.08,3.34,0.01,17.23,0.08,3.00,0.01,3.03,0.07
SM11,AMBER,-52.64,-0.06,-66.47,-0.06,-72.25,-0.06,13.83,0.08,2.41,0.01,19.61,0.08,3.41,0.01,2.10,0.04
SM11,LigParGen,-51.88,-0.06,-79.40,-0.05,-78.41,-0.05,27.52,0.08,4.79,0.01,26.53,0.08,4.62,0.01,2.10,0.04
SM11,OPLSAA,-31.11,-0.05,-59.09,-0.05,-57.86,-0.05,27.99,0.07,4.87,0.01,26.76,0.07,4.66,0.01,2.10,0.04
SM11,CHARMM,-43.45,-0.06,-52.40,-0.05,-60.87,-0.05,8.95,0.08,1.56,0.01,17.42,0.08,3.03,0.01,2.10,0.04
SM12,AMBER,-34.40,-0.06,-64.29,-0.05,-64.51,-0.05,29.89,0.08,5.20,0.01,30.11,0.08,5.24,0.01,3.83,0.03
SM12,LigParGen,-47.75,-0.06,-81.70,-0.05,-74.38,-0.05,33.94,0.08,5.91,0.01,26.63,0.08,4.64,0.01,3.83,0.03
SM12,OPLSAA,-35.10253622,-0.06,-70.84,-0.05,-69.32,-0.05,35.74,0.08,6.22,0.01,34.22,0.08,5.96,0.01,3.83,0.03
SM12,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,3.83,0.03
SM13,AMBER,-42.64,-0.07,-77.17,-0.06,-81.15,-0.06,34.52,0.09,6.01,0.02,38.51,0.09,6.71,0.02,2.92,0.04
SM13,LigParGen,-62.79,-0.07,-96.30,-0.06,-87.86,-0.06,33.51,0.10,5.83,0.02,25.07,0.09,4.36,0.02,2.92,0.04
SM13,OPLSAA,-49.51,-0.07,-81.38,-0.06,-80.44,-0.06,31.87,0.09,5.55,0.02,30.93,0.09,5.38,0.02,2.92,0.04
SM13,CHARMM,-46.57,-0.07,-64.58,-0.06,-64.66,-0.06,18.00,0.09,3.13,0.02,18.09,0.09,3.15,0.02,2.92,0.04
SM14,AMBER,-37.44,-0.06,-52.53,-0.06,-54.66,-0.06,15.09,0.08,2.63,0.01,17.22,0.08,3.00,0.01,1.95,0.03
SM14,LigParGen,-53.57,-0.06,-60.54,-0.05,-75.61,-0.05,6.97,0.08,1.21,0.01,22.05,0.08,3.84,0.01,1.95,0.03
SM14,OPLSAA,-30.09,-0.05,-54.07,-0.05,-56.66,-0.05,23.97,0.07,4.17,0.01,26.56,0.07,4.62,0.01,1.95,0.03
SM14,CHARMM,-62.23,-0.06,-74.64,-0.05,-73.21,-0.05,12.40,0.08,2.16,0.01,10.98,0.08,1.91,0.01,1.95,0.03
SM15,AMBER,-44.97,-0.06,-63.00,-0.06,-63.03,-0.06,18.02,0.08,3.14,0.01,18.05,0.08,3.14,0.01,3.07,0.03
SM15,LigParGen,-50.30,-0.06,-74.04,-0.05,-72.60,-0.05,23.74,0.08,4.13,0.01,22.30,0.08,3.88,0.01,3.07,0.03
SM15,OPLSAA,-34.08,-0.05,-68.02,-0.05,-64.33,-0.05,33.95,0.07,5.91,0.01,30.26,0.07,5.27,0.01,3.07,0.03
SM15,CHARMM,-60.92,-0.06,-73.87,-0.05,-70.68,-0.05,12.96,0.08,2.26,0.01,9.77,0.08,1.70,0.01,3.07,0.03
SM16,AMBER,-67.90,-0.06,-93.49,-0.06,-94.78,-0.06,25.60,0.08,4.46,0.01,26.88,0.08,4.68,0.01,2.62,0.01
SM16,LigParGen,-50.65,-0.06,-74.90,-0.05,-77.38,-0.05,24.25,0.08,4.22,0.01,26.72,0.08,4.65,0.01,2.62,0.01
SM16,OPLSAA,-56.51,-0.06,-87.74,-0.05,-91.93,-0.05,31.23,0.08,5.44,0.01,35.42,0.08,6.17,0.01,2.62,0.01
SM16,CHARMM,,,,,,,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,2.62,0.01
