ID,forcefield,DGwater,errDGwater,DGoct_dry,errDGoct_dry,DGoct_wet,errDGoct_wet,DDGwod,errDDGwod,logPwod,errlogPwod,DDGwow,errDDGwow,logPwow,errlogPwow,experiment,err
SM08_10,AMBER,-51.70,-0.34,-82.78,-1.64,-77.81,-1.16,31.08,1.68,5.41,0.29,26.11,1.21,4.55,0.21,3.10,0.03
SM08_10,LigParGen,-60.45,-0.46,-90.02,-1.03,-91.76,-1.17,29.57,1.13,5.15,0.20,31.31,1.25,5.45,0.22,3.10,0.03
SM08_10,OPLSAA,-47.14,-0.58,-96.16,-1.00,-88.35,-1.02,49.02,1.16,8.54,0.20,41.22,1.17,7.18,0.20,3.10,0.03
SM08_10,CHARMM,-45.97,-0.36,-75.78,-1.13,-78.66,-1.04,29.81,1.19,5.19,0.21,32.68,1.10,5.69,0.19,3.10,0.03
SM08_08,AMBER,-64.93,-0.40,-89.68,-2.48,-91.56,-1.78,24.75,2.51,4.31,0.44,26.63,1.82,4.64,0.32,3.10,0.03
SM08_08,LigParGen,-168.11,0.42,-174.16,2.20,-186.47,2.40,6.04,2.24,1.05,0.39,18.36,2.44,3.20,0.43,3.10,0.03
SM08_08,OPLSAA,-240.83,0.55,-230.50,4.75,-246.58,3.16,-10.33,4.78,-1.80,0.83,5.75,3.21,1.00,0.56,3.10,0.03
SM08_08,CHARMM,-280.73,0.49,-276.24,4.84,-289.90,2.42,-4.49,4.87,-0.78,0.85,9.17,2.47,1.60,0.43,3.10,0.03
SM08_11,AMBER,-70.78,0.32,-91.06,2.219357304,-99.57,0.92,20.28,2.24,3.53,0.39,28.80,0.97,5.01,0.17,3.10,0.03
SM08_11,LigParGen,-69.21,0.51,-92.34,1.31,-94.94,1.58,23.12,1.40,4.03,0.24,25.73,1.66,4.48,0.29,3.10,0.03
SM08_11,OPLSAA,-49.97,-0.39,-87.76,1.15,-87.61,1.25,37.79,1.21,6.58,0.21,37.64,1.31,6.55,0.23,3.10,0.03
SM08_11,CHARMM,-78.47,0.34,-102.09,1.84,-110.56,1.16,23.62,1.87,4.11,0.33,32.09,1.21,5.59,0.21,3.10,0.03
